MS_system,node,Degree Centrality,Norm. Degree Centrality,In-degree Centrality,Norm. In-degree Centrality,Out-degree Centrality,Norm. Out-degree Centrality,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,PageRank Centrality,Hub Score,Authority Score,Subgraph Centrality
Basilisk,benchmark-service,2,1.0,1,0.5,1,0.5,0.5000000644180599,0.0,0.6666666666666666,0.25675708783778944,0.25737125091983987,0.32671607365145316,1.5890917783042842
Basilisk,repository-service,2,1.0,1,0.5,1,0.5,0.5000000644180599,0.0,0.6666666666666666,0.25675708783778944,0.25737125091983987,0.32671607365145316,1.5890917783042844
Basilisk,rabbitmq,4,2.0,2,1.0,2,1.0,0.707106690085642,1.0,1.0,0.48648582432442095,0.48525749816032027,0.34656785269709367,2.17818355660857
blog-microservices,recommendation-service,2,0.2,1,0.1,1,0.1,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.09020693386306192,0.09461982226327795,4.7194952989770105
blog-microservices,product-service,2,0.2,1,0.1,1,0.1,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.09020693386306192,0.09461982226327792,4.719495298976998
blog-microservices,review-service,2,0.2,1,0.1,1,0.1,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.09020693386306192,0.09461982226327792,4.719495298977008
blog-microservices,composite-service,2,0.2,1,0.1,1,0.1,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.09020693386306192,0.09461982226327792,4.719495298977005
blog-microservices,monitor-dashboard,2,0.2,2,0.2,0,0.0,1.4259683781261654e-06,0.0,0.2,0.054973197257599894,-0.0,0.1256336149049638,4.009155699378136
blog-microservices,auth-server,1,0.1,1,0.1,0,0.0,9.834264676732177e-08,0.0,0.1,0.03857767966970804,-0.0,0.09461982226327792,2.2583986367518296
blog-microservices,config-server,9,0.9,0,0.0,9,0.9,3.5122373845472056e-09,0.0,0.0,0.035248640650005,0.44626175653164296,-0.0,19.104360822783626
blog-microservices,turbine-server,3,0.30000000000000004,1,0.1,2,0.2,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.14627241152997106,0.09461982226327792,6.570609984724262
blog-microservices,edge-server,3,0.30000000000000004,2,0.2,1,0.1,0.7071067829258826,0.011111111111111112,0.2,0.24698484713475471,8.62721694004328e-18,0.10450838729406414,2.928389910872498
blog-microservices,discovery-server,6,0.6000000000000001,6,0.6000000000000001,0,0.0,6.736471303561539e-06,0.0,0.6,0.18613733796073467,-0.0,0.20213906422130448,13.39165117068807
blog-microservices,user,2,0.2,1,0.1,1,0.1,0.7071067794136452,0.0,0.13333333333333333,0.24518989897865762,0.0466380964861383,1.9332189715502884e-17,1.6074087471055376
DentalAppointment,appointment-service,4,0.5714285714285714,2,0.2857142857142857,2,0.2857142857142857,0.31622881023464355,0.05952380952380952,0.3214285714285714,0.1259269288499131,0.14103340068569525,0.22442390192101044,6.205025701098684
DentalAppointment,approval-service,3,0.42857142857142855,1,0.14285714285714285,2,0.2857142857142857,0.15811444281474257,0.0,0.19047619047619047,0.08836957908325967,0.2661047424398165,0.15207225179554804,5.260361666667824
DentalAppointment,hospital-manage-service,2,0.2857142857142857,2,0.2857142857142857,0,0.0,0.47434159436287127,0.0,0.38095238095238093,0.14188846307145925,-0.0,0.1904180519074094,3.4092761511078846
DentalAppointment,gateway-service,6,0.8571428571428571,1,0.14285714285714285,4,0.7142857142857142,0.15811444281474257,0.14285714285714285,0.14285714285714285,0.13973042272140337,0.5593120174332527,-4.782723574038098e-17,7.812567388161819
DentalAppointment,message-service,4,0.5714285714285714,2,0.2857142857142857,2,0.2857142857142857,0.31622881023464355,0.10714285714285714,0.3214285714285714,0.1259269288499131,0.03354983944123559,0.2244239019210104,5.434687395510824
DentalAppointment,personal-info-service,2,0.2857142857142857,2,0.2857142857142857,0,0.0,0.632454378491099,0.0,0.39682539682539686,0.1716534911644957,-0.0,0.04746772038566751,2.9282201837146875
DentalAppointment,user,2,0.2857142857142857,1,0.14285714285714285,1,0.14285714285714285,0.15811444281474257,0.0,0.14285714285714285,0.08836957908325967,-2.835494379021616e-17,0.15207225179554804,1.8457613750313873
DentalAppointment,mail-server,1,0.14285714285714285,1,0.14285714285714285,0,0.0,0.3162272269429704,0.0,0.2857142857142857,0.11813460717629608,-0.0,0.009121920273806141,1.7404206072427466
geocoder-microservices,geocoderlocal-service,3,0.375,2,0.25,1,0.125,0.23497890214664843,0.0,0.3828125,0.05930807302612387,0.07186581211274493,0.16391962803534305,8.66061552056111
geocoder-microservices,zuul-gateway,5,0.625,3,0.375,2,0.25,0.5765340294753317,0.30357142857142855,0.5104166666666667,0.2730709909276808,0.06211168144262457,0.13106190088708794,9.812414362468626
geocoder-microservices,geocoderremote-service,4,0.5,3,0.375,1,0.125,0.23497890214664946,0.026785714285714284,0.4083333333333333,0.0663914063594572,0.07186581211274493,0.2021629667320713,11.00927891447006
geocoder-microservices,hystrix-dashboard,3,0.375,2,0.25,1,0.125,2.8676103667967156e-05,0.0,0.125,0.12685185185185185,0.04000122519475823,0.11561664791104351,4.612023871865976
geocoder-microservices,eureka-discovery,5,0.625,4,0.5,1,0.125,0.5350062397161907,0.21428571428571427,0.5568181818181818,0.16615367764308314,0.04534499751170109,0.2077157450909587,15.861217048087676
geocoder-microservices,configurator,6,0.75,0,0.0,6,0.75,2.6080764353531077e-17,0.0,0.0,0.01666666666666667,0.339433521740874,-0.0,17.778720145202406
geocoder-microservices,auth-service,6,0.75,3,0.375,3,0.375,0.36806702283094644,0.2232142857142857,0.47115384615384615,0.14216755565145694,0.1985236298038425,0.1605972104804071,18.37090615809496
geocoder-microservices,mongodb,2,0.25,0,0.0,2,0.25,2.6080764353531077e-17,0.0,0.0,0.01666666666666667,0.12550832256900868,-0.0,4.256314648549088
geocoder-microservices,user,2,0.25,1,0.125,1,0.125,0.36806702283094433,0.0,0.3402777777777778,0.13272311120701252,0.04534499751170109,0.018925900863088423,1.8510979852694502
java-microservice,oauth,5,0.4545454545454546,3,0.2727272727272727,2,0.18181818181818182,2.3855443044387e-09,0.0012987012987012985,0.29090909090909095,0.05011800889431252,0.07065271237441549,0.10906542627844054,72.91992134225687
java-microservice,admin,9,0.8181818181818182,2,0.18181818181818182,7,0.6363636363636364,9.258257326411506e-12,0.0012987012987012985,0.20454545454545453,0.044691252345250176,0.18959530806918823,0.07335761153163976,165.8899068882545
java-microservice,api-gateway,5,0.4545454545454546,3,0.2727272727272727,2,0.18181818181818182,2.3855443044387e-09,0.0012987012987012985,0.29090909090909095,0.05011800889431252,0.07065271237441549,0.10906542627844053,72.91992134225684
java-microservice,eureka-server,9,0.8181818181818182,8,0.7272727272727273,1,0.09090909090909091,0.009042635872507726,0.0012987012987012985,0.7575757575757576,0.16835721513501692,0.032234612169893505,0.17763487538339112,165.88990688825461
java-microservice,mailer,6,0.5454545454545454,4,0.36363636363636365,2,0.18181818181818182,7.063001222794096e-05,0.01948051948051948,0.40909090909090906,0.09444380263199798,0.07065271237441549,0.11369659713282101,83.25339139778572
java-microservice,user,5,0.4545454545454546,3,0.2727272727272727,2,0.18181818181818182,2.3855443044387e-09,0.0012987012987012985,0.29090909090909095,0.05011800889431252,0.07065271237441549,0.10906542627844053,72.9199213422569
java-microservice,config-server,9,0.8181818181818182,1,0.09090909090909091,8,0.7272727272727273,2.39851226072837e-14,0.08181818181818182,0.09090909090909091,0.06346133554616115,0.20546077403978805,2.4252216298351978e-18,139.43928856447687
